,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,hum,windspeed,casual,registered,cnt,en_dteday
0,1,0,1,0,1,0,False,6,1,0.24,0.81,0.0,3,13,16,0
1,2,0,1,0,1,1,False,6,1,0.22,0.8,0.0,8,32,40,0
2,3,0,1,0,1,2,False,6,1,0.22,0.8,0.0,5,27,32,0
3,4,0,1,0,1,3,False,6,1,0.24,0.75,0.0,3,10,13,0
4,5,0,1,0,1,4,False,6,1,0.24,0.75,0.0,0,1,1,0
5,6,0,1,0,1,5,False,6,2,0.24,0.75,0.0896,0,1,1,0
6,7,0,1,0,1,6,False,6,1,0.22,0.8,0.0,2,0,2,0
7,8,0,1,0,1,7,False,6,1,0.2,0.86,0.0,1,2,3,0
8,9,0,1,0,1,8,False,6,1,0.24,0.75,0.0,1,7,8,0
9,10,0,1,0,1,9,False,6,1,0.32,0.76,0.0,8,6,14,0
10,11,0,1,0,1,10,False,6,1,0.38,0.76,0.2537,12,24,36,0
11,12,0,1,0,1,11,False,6,1,0.36,0.81,0.2836,26,30,56,0
12,13,0,1,0,1,12,False,6,1,0.42,0.77,0.2836,29,55,84,0
13,14,0,1,0,1,13,False,6,2,0.46,0.72,0.2985,47,47,94,0
14,15,0,1,0,1,14,False,6,2,0.46,0.72,0.2836,35,71,106,0
15,16,0,1,0,1,15,False,6,2,0.44,0.77,0.2985,40,70,110,0
16,17,0,1,0,1,16,False,6,2,0.42,0.82,0.2985,41,52,93,0
17,18,0,1,0,1,17,False,6,2,0.44,0.82,0.2836,15,52,67,0
18,19,0,1,0,1,18,False,6,3,0.42,0.88,0.2537,9,26,35,0
19,20,0,1,0,1,19,False,6,3,0.42,0.88,0.2537,6,31,37,0
20,21,0,1,0,1,20,False,6,2,0.4,0.87,0.2537,11,25,36,0
21,22,0,1,0,1,21,False,6,2,0.4,0.87,0.194,3,31,34,0
22,23,0,1,0,1,22,False,6,2,0.4,0.94,0.2239,11,17,28,0
23,24,0,1,0,1,23,False,6,2,0.46,0.88,0.2985,15,24,39,0
24,25,2,1,0,1,0,False,0,2,0.46,0.88,0.2985,4,13,17,2
25,26,2,1,0,1,1,False,0,2,0.44,0.94,0.2537,1,16,17,2
26,27,2,1,0,1,2,False,0,2,0.42,1.0,0.2836,1,8,9,2
27,28,2,1,0,1,3,False,0,2,0.46,0.94,0.194,2,4,6,2
28,29,2,1,0,1,4,False,0,2,0.46,0.94,0.194,2,1,3,2
29,30,2,1,0,1,6,False,0,3,0.42,0.77,0.2985,0,2,2,2
30,31,2,1,0,1,7,False,0,2,0.4,0.76,0.194,0,1,1,2
31,32,2,1,0,1,8,False,0,3,0.4,0.71,0.2239,0,8,8,2
32,33,2,1,0,1,9,False,0,2,0.38,0.76,0.2239,1,19,20,2
33,34,2,1,0,1,10,False,0,2,0.36,0.81,0.2239,7,46,53,2
34,35,2,1,0,1,11,False,0,2,0.36,0.71,0.2537,16,54,70,2
35,36,2,1,0,1,12,False,0,2,0.36,0.66,0.2985,20,73,93,2
36,37,2,1,0,1,13,False,0,2,0.36,0.66,0.1343,11,64,75,2
37,38,2,1,0,1,14,False,0,3,0.36,0.76,0.194,4,55,59,2
38,39,2,1,0,1,15,False,0,3,0.34,0.81,0.1642,19,55,74,2
39,40,2,1,0,1,16,False,0,3,0.34,0.71,0.1642,9,67,76,2
40,41,2,1,0,1,17,False,0,1,0.34,0.57,0.194,7,58,65,2
41,42,2,1,0,1,18,False,0,2,0.36,0.46,0.3284,10,43,53,2
42,43,2,1,0,1,19,False,0,1,0.32,0.42,0.4478,1,29,30,2
43,44,2,1,0,1,20,False,0,1,0.3,0.39,0.3582,5,17,22,2
44,45,2,1,0,1,21,False,0,1,0.26,0.44,0.3284,11,20,31,2
45,46,2,1,0,1,22,False,0,1,0.24,0.44,0.2985,0,9,9,2
46,47,2,1,0,1,23,False,0,1,0.22,0.47,0.1642,0,8,8,2
47,48,4,1,0,1,0,False,1,1,0.22,0.44,0.3582,0,5,5,4
48,49,4,1,0,1,1,False,1,1,0.2,0.44,0.4179,0,2,2,4
49,50,4,1,0,1,4,False,1,1,0.16,0.47,0.3881,0,1,1,4
50,51,4,1,0,1,5,False,1,1,0.16,0.47,0.2836,0,3,3,4
51,52,4,1,0,1,6,False,1,1,0.14,0.5,0.3881,0,30,30,4
52,53,4,1,0,1,7,False,1,1,0.14,0.5,0.194,1,63,64,4
53,54,4,1,0,1,8,False,1,1,0.14,0.5,0.2836,1,153,154,4
54,55,4,1,0,1,9,False,1,1,0.16,0.43,0.3881,7,81,88,4
55,56,4,1,0,1,10,False,1,1,0.18,0.43,0.2537,11,33,44,4
56,57,4,1,0,1,11,False,1,1,0.2,0.4,0.3284,10,41,51,4
57,58,4,1,0,1,12,False,1,1,0.22,0.35,0.2985,13,48,61,4
58,59,4,1,0,1,13,False,1,1,0.24,0.35,0.2836,8,53,61,4
59,60,4,1,0,1,14,False,1,1,0.26,0.3,0.2836,11,66,77,4
60,61,4,1,0,1,15,False,1,1,0.26,0.3,0.2537,14,58,72,4
61,62,4,1,0,1,16,False,1,1,0.26,0.3,0.2537,9,67,76,4
62,63,4,1,0,1,17,False,1,1,0.24,0.3,0.2239,11,146,157,4
63,64,4,1,0,1,18,False,1,1,0.24,0.32,0.1045,9,148,157,4
64,65,4,1,0,1,19,False,1,1,0.2,0.47,0.0,8,102,110,4
65,66,4,1,0,1,20,False,1,1,0.2,0.47,0.1045,3,49,52,4
66,67,4,1,0,1,21,False,1,1,0.18,0.64,0.1343,3,49,52,4
67,68,4,1,0,1,22,False,1,1,0.14,0.69,0.1343,0,20,20,4
68,69,4,1,0,1,23,False,1,1,0.18,0.55,0.1045,1,11,12,4
69,70,6,1,0,1,0,False,2,1,0.16,0.55,0.1045,0,5,5,6
70,71,6,1,0,1,1,False,2,1,0.16,0.59,0.1045,0,2,2,6
71,72,6,1,0,1,2,False,2,1,0.14,0.63,0.1343,0,1,1,6
72,73,6,1,0,1,4,False,2,1,0.14,0.63,0.0896,0,2,2,6
73,74,6,1,0,1,5,False,2,1,0.12,0.68,0.1045,0,4,4,6
74,75,6,1,0,1,6,False,2,1,0.12,0.74,0.1045,0,36,36,6
75,76,6,1,0,1,7,False,2,1,0.12,0.74,0.1343,2,92,94,6
76,77,6,1,0,1,8,False,2,1,0.14,0.69,0.1642,2,177,179,6
77,78,6,1,0,1,9,False,2,1,0.16,0.64,0.2239,2,98,100,6
78,79,6,1,0,1,10,False,2,2,0.16,0.69,0.3284,5,37,42,6
79,80,6,1,0,1,11,False,2,1,0.22,0.51,0.2985,7,50,57,6
80,81,6,1,0,1,12,False,2,1,0.22,0.51,0.1642,12,66,78,6
81,82,6,1,0,1,13,False,2,1,0.24,0.56,0.194,18,79,97,6
82,83,6,1,0,1,14,False,2,1,0.26,0.52,0.2239,9,54,63,6
83,84,6,1,0,1,15,False,2,1,0.28,0.52,0.2537,17,48,65,6
84,85,6,1,0,1,16,False,2,1,0.3,0.49,0.2537,15,68,83,6
85,86,6,1,0,1,17,False,2,1,0.28,0.48,0.2239,10,202,212,6
86,87,6,1,0,1,18,False,2,1,0.26,0.48,0.194,3,179,182,6
87,88,6,1,0,1,19,False,2,1,0.24,0.48,0.1045,2,110,112,6
88,89,6,1,0,1,20,False,2,1,0.24,0.48,0.1045,1,53,54,6
89,90,6,1,0,1,21,False,2,1,0.22,0.64,0.0,0,48,48,6
90,91,6,1,0,1,22,False,2,1,0.22,0.64,0.0896,1,34,35,6
91,92,6,1,0,1,23,False,2,1,0.2,0.69,0.0896,2,9,11,6
92,93,8,1,0,1,0,False,3,1,0.2,0.64,0.0,0,6,6,8
93,94,8,1,0,1,1,False,3,1,0.16,0.74,0.0896,0,6,6,8
94,95,8,1,0,1,2,False,3,1,0.16,0.74,0.0896,0,2,2,8
95,96,8,1,0,1,4,False,3,1,0.24,0.48,0.2239,0,2,2,8
96,97,8,1,0,1,5,False,3,1,0.22,0.47,0.1642,0,3,3,8
97,98,8,1,0,1,6,False,3,1,0.2,0.47,0.2239,0,33,33,8
98,99,8,1,0,1,7,False,3,1,0.18,0.43,0.194,1,87,88,8
99,100,8,1,0,1,8,False,3,1,0.2,0.4,0.2985,3,192,195,8
100,101,8,1,0,1,9,False,3,1,0.22,0.37,0.3284,6,109,115,8
101,102,8,1,0,1,10,False,3,1,0.22,0.37,0.3284,4,53,57,8
102,103,8,1,0,1,11,False,3,1,0.26,0.33,0.3284,12,34,46,8
103,104,8,1,0,1,12,False,3,1,0.26,0.33,0.3284,5,74,79,8
104,105,8,1,0,1,13,False,3,1,0.28,0.3,0.2985,6,65,71,8
105,106,8,1,0,1,14,False,3,1,0.3,0.28,0.194,10,52,62,8
106,107,8,1,0,1,15,False,3,1,0.3,0.28,0.194,7,55,62,8
107,108,8,1,0,1,16,False,3,1,0.3,0.28,0.0896,4,85,89,8
108,109,8,1,0,1,17,False,3,1,0.24,0.38,0.194,4,186,190,8
109,110,8,1,0,1,18,False,3,1,0.24,0.38,0.1343,3,166,169,8
110,111,8,1,0,1,19,False,3,1,0.24,0.38,0.1045,5,127,132,8
111,112,8,1,0,1,20,False,3,1,0.22,0.47,0.1642,7,82,89,8
112,113,8,1,0,1,21,False,3,1,0.2,0.51,0.194,3,40,43,8
113,114,8,1,0,1,22,False,3,1,0.18,0.55,0.1343,1,41,42,8
114,115,8,1,0,1,23,False,3,1,0.2,0.47,0.0,1,18,19,8
115,116,10,1,0,1,0,False,4,1,0.18,0.55,0.0,0,11,11,10
116,117,10,1,0,1,1,False,4,1,0.16,0.64,0.0,0,4,4,10
117,118,10,1,0,1,2,False,4,1,0.16,0.64,0.0,0,2,2,10
118,119,10,1,0,1,4,False,4,2,0.16,0.64,0.0896,0,1,1,10
119,120,10,1,0,1,5,False,4,2,0.14,0.69,0.0896,0,4,4,10
120,121,10,1,0,1,6,False,4,2,0.14,0.63,0.1045,0,36,36,10
121,122,10,1,0,1,7,False,4,2,0.16,0.59,0.0,0,95,95,10
122,123,10,1,0,1,8,False,4,1,0.16,0.59,0.0,3,216,219,10
123,124,10,1,0,1,9,False,4,2,0.18,0.51,0.0,6,116,122,10
124,125,10,1,0,1,10,False,4,1,0.2,0.47,0.0,3,42,45,10
125,126,10,1,0,1,11,False,4,1,0.22,0.44,0.0896,2,57,59,10
126,127,10,1,0,1,12,False,4,1,0.26,0.35,0.0,6,78,84,10
127,128,10,1,0,1,13,False,4,1,0.26,0.35,0.1045,12,55,67,10
128,129,10,1,0,1,14,False,4,1,0.28,0.36,0.1642,11,59,70,10
129,130,10,1,0,1,15,False,4,1,0.28,0.36,0.0,8,54,62,10
130,131,10,1,0,1,16,False,4,1,0.26,0.38,0.1642,12,74,86,10
131,132,10,1,0,1,17,False,4,1,0.22,0.51,0.1642,9,163,172,10
132,133,10,1,0,1,18,False,4,1,0.22,0.51,0.1343,5,158,163,10
133,134,10,1,0,1,19,False,4,1,0.22,0.55,0.0896,3,109,112,10
134,135,10,1,0,1,20,False,4,1,0.2,0.51,0.1642,3,66,69,10
135,136,10,1,0,1,21,False,4,2,0.22,0.55,0.2239,0,48,48,10
136,137,10,1,0,1,22,False,4,2,0.22,0.51,0.2836,1,51,52,10
137,138,10,1,0,1,23,False,4,2,0.2,0.59,0.194,4,19,23,10
